year,midpoint_prob,obs_count,success_rate
2014,0.0,114,0.0
2015,0.0,402,0.0024875621890547263
2016,0.0,373,0.0
2017,0.0,421,0.0023752969121140144
2018,0.0,180,0.0
2019,0.0,91,0.02197802197802198
2014,0.1,137,0.029197080291970802
2015,0.1,344,0.03197674418604651
2016,0.1,327,0.04892966360856269
2017,0.1,387,0.025839793281653745
2018,0.1,299,0.03678929765886288
2019,0.1,204,0.09803921568627451
2014,0.2,88,0.13636363636363635
2015,0.2,201,0.17412935323383086
2016,0.2,191,0.1518324607329843
2017,0.2,229,0.09170305676855896
2018,0.2,222,0.13513513513513514
2019,0.2,139,0.11510791366906475
2014,0.3,80,0.2625
2015,0.3,160,0.2375
2016,0.3,190,0.22631578947368422
2017,0.3,217,0.2350230414746544
2018,0.3,232,0.27155172413793105
2019,0.3,189,0.37566137566137564
2014,0.4,97,0.3402061855670103
2015,0.4,158,0.4620253164556962
2016,0.4,144,0.4097222222222222
2017,0.4,152,0.34210526315789475
2018,0.4,265,0.4188679245283019
2019,0.4,206,0.47572815533980584
2014,0.5,104,0.5865384615384616
2015,0.5,158,0.5379746835443038
2016,0.5,112,0.5089285714285714
2017,0.5,112,0.5714285714285714
2018,0.5,193,0.49740932642487046
2019,0.5,158,0.5822784810126582
2012,0.6,1,1.0
2014,0.6,111,0.6216216216216216
2015,0.6,157,0.5923566878980892
2016,0.6,124,0.6048387096774194
2017,0.6,118,0.5084745762711864
2018,0.6,291,0.5601374570446735
2019,0.6,238,0.6260504201680672
2009,0.7,1,1.0
2010,0.7,2,1.0
2011,0.7,4,0.75
2012,0.7,1,1.0
2013,0.7,11,0.9090909090909091
2014,0.7,118,0.7966101694915254
2015,0.7,147,0.7687074829931972
2016,0.7,145,0.7034482758620689
2017,0.7,163,0.7361963190184049
2018,0.7,274,0.8029197080291971
2019,0.7,266,0.7142857142857143
2009,0.8,3,1.0
2010,0.8,5,1.0
2011,0.8,6,1.0
2012,0.8,8,1.0
2013,0.8,35,0.8285714285714286
2014,0.8,159,0.8238993710691824
2015,0.8,262,0.8549618320610687
2016,0.8,201,0.8109452736318408
2017,0.8,226,0.8230088495575221
2018,0.8,188,0.9202127659574468
2019,0.8,178,0.8146067415730337
2009,0.9,4,1.0
2010,0.9,13,1.0
2011,0.9,24,1.0
2012,0.9,48,1.0
2013,0.9,96,0.9791666666666666
2014,0.9,291,0.9656357388316151
2015,0.9,420,0.95
2016,0.9,428,0.9579439252336449
2017,0.9,418,0.9688995215311005
2018,0.9,39,0.9743589743589743
2019,0.9,20,0.75
2009,1.0,6,1.0
2010,1.0,28,1.0
2011,1.0,54,1.0
2012,1.0,143,1.0
2013,1.0,347,1.0
2014,1.0,200,1.0
2015,1.0,242,1.0
2016,1.0,98,1.0
2017,1.0,88,1.0
